Name rus, Name eng,DOB,Gender,Description,Tag
Миткова Татьяна Ростиславовна,Mitkova Tatiana (Tatyana) Rostislavovna,13.09.1955,female,Russian propagandist: editor-in-chief of the Information Service department on NTV,"Propagandists
Federal media employees"
Митрохина Елена Владимировна,Mitrokhina Elena Vladimirovna,,female,Deputy Head of the Department for NPO Affairs of the Department of the Ministry of Justice of the Russian Federation for the Altai Krai. Prevented the admission of an opposition party to the elections in the interests of illegally retaining the power of the ruling regime of Vladimir Putin,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Митрошкин А. Н.,Mitroshkin A. N.,,male,Senior investigator of the second department for the investigation of particularly important cases (on crimes against state power in the economic sphere) of the Investigation Department of the Investigative Committee of the Russian Federation for the Lipetsk Oblast. Involved in the fabrication of the “FBK case”,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Митволь Олег Львович,Mitvol Oleg Lvovich,03.10.1966,male,Business partner of the sons of Chaika,"Individuals involved in corruption
Investigations subjects"
Митюшев Дмитрий Ильич,Mityushev Dmitry Ilyich,27.06.1968,male,Chairman of the Electoral Commission of the Republic of Komi. Head of the state body responsible for supporting the existing political regime in Russia through electoral fraud.,"Election fraud organizers
Heads of the Central Election Commission and local election commissions"
Мизинцев Михаил Евгеньевич,Mizintsev Mikhail Evgenievich,10.09.1962,male,Official of the Ministry of Defense of the Russian Federation. Head of the National Defense Control Center of the Russian Federation. Holds a senior position in the federal state body responsible for the military actions of the Russian armed forces against Ukraine.,"War Arrangers
Military staff and accomplices of Russian occupation"
Мизулин Михаил Юрьевич,Mizulin Mihail Yurievich,10.01.1955,male,Husband of Elena Mizulina.,"Individuals involved in corruption
Investigations subjects"
Мизулин Николай Михайлович,Mizulin Nikolay Mikhailovich,04.02.1978,male,"Son of Elena Mizulina. Lives in Brussels, is a partner of the law firm ""Mayer Brown"". Married to a Spanish citizen.","Individuals involved in corruption
Investigations subjects"
Мизулина Екатерина Михайловна,Mizulina Ekaterina Mikhailovna,22.04.1984,female,"Daughter of Elena Mizulina. Head of the Safe Internet League and concurrently a member of the Russian Public Chamber.

Head of the Safe Internet League and concurrently a member of the Russian Public Chamber. Responsible for organizing censorship in the Russian segment of the Internet. Actively supports Russian military aggression against Ukraine","Individuals involved in corruption
Investigations subjects

Organizers of political repressions
Internet censors"
Мизулина Елена Борисовна,Mizulina Elena Borisovna,09.12.1954,female,"Member of the Federation Council of the Federal Assembly of the Russian Federation (upper house of the federal parliament). This state body is responsible for the political and legal support of the aggressive war against Ukraine, which included issuing permission for the use of Russian military forces outside the territory of Russia.

Member of the Federation Council of the Federal Assembly of the Russian Federation.

Russian propagandist: Russian Federation Council member; author of the Russian Internet Regulations that are being used to censor independent media and prevent the population from learning the real information about the war in Ukraine

One of the authors of the law on black lists. Responsible for organizing censorship in the Russian segment of the Internet","Members of Parliament and Senate
Federation Council

Individuals involved in corruption
Investigations subjects

Propagandists
Federal media employees

Organizers of political repressions
Internet censors"
Млечин Леонид Михайлович,Mlechin Leonid Mikhaylovich (Mikhailovich),12.06.1957,male,"Russian propagandist: director of the directorate for social and political broadcasting, host of program ""Vspomnit' Vse"" (""Remember Everything"") on Public Television of Russia (OTR)","Propagandists
Federal media employees"
"Мочаев Валерий Александрович
",Mochaev Valerii Aleksandrovich,,Male,"Editor-in-Chief of the newspaper ""Marii sandalyk — Mariiskii mir"" (owned by the Government of the Mari El Republic)","Propagandists
Regional press"
Мочалов Олег Дмитриевич,Mochalov Oleg Dmitrievich,20.07.1972,male,Rector of the Samara State Social-Pedagogical University. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators"
Мочалов Сергей Геннадьевич,Mochalov Sergey Gennadievich,14.12.1970,male,"Head of the Directorate of the Federal Security Service of Russia for the Republic of Karelia, a federal state body that carries out political persecution in the territory under its jurisdiction against citizens and organizations that oppose Russia's aggressive war against Ukraine and are in opposition to the current political regime in Russia.","Key ‘siloviki’ (security forces) figure
Federal Security Services
"
Могушков Ибрагим Шамсудинович,Mogushkov Ibragim Shamsudinovich,29.03.1968,male,Head of the Investigation Directorate of the Investigative Committee of the Russian Federation for the Astrakhan Oblast. Head of the federal state body responsible for criminal prosecution (on the territory under its jurisdiction) of citizens of the Russian Federation who oppose the Russian invasion of Ukraine and the current political regime in the Russia.,"Key ‘siloviki’ (security forces) figure
Investigative Committee of Russia "
Моисеев Александр Алексеевич,Moiseev Alexander Alekseevich,16.04.1962,male,Official of the Ministry of Defense of the Russian Federation. Commander of the Northern Fleet. Holds a senior position in the federal state body responsible for the military actions of the Russian armed forces against Ukraine. Heads large divisions of the Russian armed forces.,"War Arrangers
Military staff and accomplices of Russian occupation"
Моисеев Алексей Владимирович,Moiseev Alexey Vladimirovich,,Male,"Deputy Minister of Finance of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.

Member of the Supervisory Board of PJSC ALROSA

Member of the Board of Directors of OJSC Russian Post

Member of the Board of Directors of JSC DOM.RF","Senior Federal Officials
Executive branch and presidential administration employees

Top Management of State Owned Companies"
Моисеев Д. Б.,Moiseev D. B.,,male,"Senior investigator of the 13th department of the SC for the ROPD of the Main Investigative Directorate of the Main Directorate of the Ministry of Internal Affairs of Russia for the city of Moscow, Major of Justice. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia","Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Моисеев Михаил Алексеевич,Moiseev Mikhail Alekseevich,22.01.1939,Male,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Моисеева Людмила Николаевна,Moiseeva Lyudmila Nikolaevna,04.09.1955,female,"Ludmila Nikolaevna Moiseyeva, a pensioner, received 29 million rubles from the accounts of Simonyan's companies. She is the mother-in-law of Leonid Goldman, deputy head of the Russian-language directorate of the RT television channel","Individuals involved in corruption
Investigations subjects"
Мохначук Иван Иванович,Mokhnachuk Ivan Ivanovich,03.01.1958,Male,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Мохов Андрей Валерьевич,Mokhov Andrey Valerievich,,male,Judge of the Moscow City Court. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Мокроусов Максим Игоревич,Mokrousov Maxim Igorevich,12.10.1975,male,"Researcher at the Space Research Institute of Russian Academy of Sciences. Actively supports Vladimir Putin's policy, which threatens the territorial integrity, sovereignty and independence of Ukraine.","Warmongers
Scholars"
Мокшин Михаил Викторович,Mokshin Mikhail Viktorovich,01.02.1974,male,Head of the Investigation Directorate of the Investigative Committee of the Russian Federation for the Khanty-Mansi Autonomous Okrug - Yugra. Head of the federal state body responsible for criminal prosecution (on the territory under its jurisdiction) of citizens of the Russian Federation who oppose the Russian invasion of Ukraine and the current political regime in the Russia.,"Key ‘siloviki’ (security forces) figure
Investigative Committee of Russia "
Молчанов Александр Владимирович,Molchanov Alexander Vladimirovich,,male,"Judge of the Moscow City Court. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia, including members of the Pussy Riot group","Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Молчанов Артём Владимирович,Molchanov Artyom Vladimirovich,17.10.1979,male,"Deputy Chairman of the Government Yaroslavl Oblast. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Молчанова Олеся Анатольевна,Molchanova Olesya Anatolyevna,30.03.1987,Female,"Deputy Head of the Federal Agency for State Property Management of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
Молитвина Татьяна Александровна,Molitvina Tatyana Alexandrovna,,female,Judge of the Tverskoy District Court of Moscow. Refused Alexei Navalny and FBK to accept claims against Prosecutor General Yuri Chaika and President Vladimir Putin,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Молокова Людмила Кузьминична,Molokova Ludmila Kuzminichna,,female,Judge of the Vologda city court of the Vologda region. Prevented the admission of an opposition party to the elections in the interests of illegally retaining the power of the ruling regime of Vladimir Putin,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Мольский Алексей Валерьевич,Molsky Alexey Valeryevich,17.08.1980,male,Member of PJSC ROSSETI's collegial executive body,Top Management of State Owned Companies
Монекин Дмитрий Иванович,Monekin Dmitry Ivanovich,,male,"Judge of the Moscow City Court. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia. Including involved in the fabricated ""Yves Rocher case"" against Alexei and Oleg Navalny","Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Монгуш Вячеслав Карбыевич,Mongush Vyacheslav Karbyevich,03.04.1966,Male,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Мономенова Мария Андреевна,Monomenova Maria Andreevna,–,female,"Member of the Russian Union of Journalists, writer, publicist. Signed an open letter of cultural figures expressing ""support for the decision of the President of Russia to launch a military operation to denazify Ukraine and protect the republics of Donbass"".","Warmongers
Artists
"
Моор Александр Викторович,Moor Aleksandr Viktorovich ,06.01.1974,male,"Governor of Tyumen Oblast. Manages a regional state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.

Member of the Supreme Council of the United Russia party. United Russia forms and implements Vladimir Putin's policy of aggression against territorial integrity, sovereignty and independence of Ukraine.","Region Heads
Governors

“United Russia” party Functionaries 
Federal and regional party leaders"
Мордашов Алексей Александрович,Mordashov Alexey Alexandrovich,26.09.1965,male,"Russian oligarch. Amid the war, he remains involved in the system of Russian political corruption, in which capital is an instrument for acquiring political influence, and political influence is a condition for preserving capital, at the highest level.","Individuals involved in corruption
Oligarchs"
Мордовской Петр Степанович,Mordovskoy Petr Stepanovich,05.07.1962,male,"Deputy Chairman of the government Republic of Buryatia. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Моренис Елена Ильинична,Morenis Elena Ilinichna,-,Female,"Director, STATE TELEVISION AND RADIO BROADCASTING COMPANY ""IRTYSH"". Involved in Russian propaganda of the war against Ukraine.",Chief editors and management of regional TV channels
Моргоева Жанна Бекирбековна,Morgoeva Zhanna Bekirbekovna,11.05.1962,female,Chairman of the Central Election Commission of the Republic of North Ossetia - Alania. Head of the state body responsible for supporting the existing political regime in Russia through electoral fraud.,"Election fraud organizers
Heads of the Central Election Commission and local election commissions"
Моргулов Игорь Владимирович,Morgulov Igor Vladimirovich,04.05.1961,Male,"Deputy Minister of Foreign Affairs of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
Моргунов Михаил Юрьевич,Morgunov Mikhail Yuryevich,,male,Member of the Board of Directors of JSC GLONASS,Top Management of State Owned Companies
Мороз Сергей Анатольевич,Moroz Sergey Anatolievich,,male,"Head of the Federal Penitentiary Service of Russia for Moscow, major general of the internal service. Put Alexei Navalny on the wanted list","Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Морозкин Николай Данилович,Morozkin Nikolay Danilovich,27.11.1953,male,Rector of the Bashkir State University. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators"
Морозов Александр Анатольевич,Morozov Alexander Anatolievich,24.07.1975,male,Prosecutor of the Republic of North Ossetia - Alania. Head of the federal state body that provides legal protection for the Russian political regime and refused to protect the rule of law in the context of the invasion of Russian troops in Ukraine.,"Key ‘siloviki’ (security forces) figure 
Prosecutor’s Office"
МОРОЗОВ АЛЕКСАНДР НИКОЛАЕВИЧ,Morozov Alexander Nikolaevich,,Male,"Deputy Minister of Industry and Trade of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.

Member of the Board of Directors of JSC GLONASS","Senior Federal Officials
Executive branch and presidential administration employees

Top Management of State Owned Companies"
Морозов Алексей Алексеевич,Morozov Alexey Alekseevich,15.09.1971,Male,"Deputy Minister of Sports of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
Морозов Алексей Валентинович ,Morozov Alexey Valentinovich,16.11.1979,male,"Film producer. Signed an open letter of cultural figures expressing ""support for the decision of the President of Russia to launch a military operation to denazify Ukraine and protect the republics of Donbass"".","Warmongers
Artists
"
Морозов Евгений Николаевич,Morozov Evgeny Nikolaevich,30.06.1981,male,"Head of JSC ""CVKS ""MSK-IX"" (Interaction Center for Computer Networks MSK-IX). Participated in the formation of a national system for routing Internet traffic in Russia within the framework of the law on the Sovereign Runet, the purpose of which is to isolate the Russian segment of the Internet and simplify censorship","Organizers of political repressions
Internet censors"
Морозов Евгений Васильевич,Morozov Evgeny Vasilyevich,,male,"Deputy Chairman of the Government Tver Oblast. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Морозов Игорь Николаевич,Morozov Igor Nikolaevich,10.12.1956,male,"Member of the Federation Council of the Federal Assembly of the Russian Federation (upper house of the federal parliament). This state body is responsible for the political and legal support of the aggressive war against Ukraine, which included issuing permission for the use of Russian military forces outside the territory of Russia.","Members of Parliament and Senate
Federation Council"
Морозов Олег Викторович,Morozov Oleg Viktorovich,5.11.1953,male,Member of the State Duma of the Russian Federation. This state body is responsible for political and legal support of the aggressive war against Ukraine.,"Members of Parliament and Senate
State Duma"
Морозов Сергей Эдуардович,Morozov Sergey Eduardovich,18.04.1981,male,"Deputy Governor of the Nizhny Novgorod Oblast. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Морозов Сергей Иванович,Morozov Sergey Ivanovich,6.09.1959,male,"Member of the State Duma of the Russian Federation. This state body is responsible for political and legal support of the aggressive war against Ukraine.

Member of the General Council of the United Russia party. United Russia forms and implements Vladimir Putin's policy of aggression against territorial integrity, sovereignty and independence of Ukraine.","Members of Parliament and Senate
State Duma

“United Russia” party Functionaries 
Federal and regional party leaders"
Морозов Виталий Юрьевич,Morozov Vitaly Yuryevich,–,male,Rector of the St. Petersburg State Agrarian University. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators"
Морозов Владимир Евгеньевич,Morozov Vladimir Evgenyevich,01.11.1992,male,Figure skater. Participated in a concert in support of the war against Ukraine,"Sellout opinion leaders
Celebrities, influencers and bloggers"
Морозов Владимир Викторович,Morozov Vladimir Viktorovich,16.06.1992,male,"Actively supports Vladimir Putin's policy, which threatens the territorial integrity, sovereignty and independence of Ukraine.","Warmongers
Athletes"
Морозова Анна Николаевна,Morozova Anna Nikolaevna,,Female,"Editor-in-Chief of the newspaper ""Belgorodskaia pravda"" (owned by the Government of the Belgorod region)","Propagandists
Regional press"
Морозова Е.И. ,Morozova E.I.,–,female,"Composer, member of the Moscow Composers Union, chairman on creativity for children and youth of the Eurasia Composers and Musicians Union. Signed an open letter of cultural figures expressing ""support for the decision of the President of Russia to launch a military operation to denazify Ukraine and protect the republics of Donbass"".","Warmongers
Artists
"
Морозова Елена Евгеньевна,Morozova Elena Evgenievna,,female,Judge of the Khimki City Court. Extended the illegal detention of Alexei Navalny,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Морозова Юлия Сергеевна,Morozova Julia Sergeevna,21.03.1977,female,"Deputy Chairman of the Government Kamchatka Krai. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Морозова Мария,Morozova Mariia,,Female,"Editor-in-Chief of the newspaper ""Karelia"" (owned by the Government of the Republic of Karelia)","Propagandists
Regional press"
Мошаров Станислав Иванович,Mosharov Stanislav Ivanovich,02.06.1967,male,"Deputy Governor of the Chelyabinsk Oblast. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Мошкович Вадим Николаевич,Moshkovich Vadim Nikolaevich,06.04.1967,male,"Russian oligarch. Amid the war, he remains involved in the system of Russian political corruption, in which capital is an instrument for acquiring political influence, and political influence is a condition for preserving capital, at the highest level.

One of the richest businessmen in Russia, former senator","Individuals involved in corruption
Oligarchs

Regional investigations subjects"
Москаленко Людмила Борисовна,Moskalenko Ludmila Borisovna,,female,"Judge of the Zamoskvoretsky District Court (until October 3, 2014). Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia","Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Москалец Андрей Александрович,Moskalets Andrey Alexandrovich,04.05.1979,Male,"Deputy Head of the Federal Customs Service of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
Москалева Екатерина ,Moskaleva Ekaterina,"
14.11.2002", female,"Russian singer, soloist of the female pop-folk band ""Fabrika"". The band members supported the aggression against Ukraine and the actions of the Russian authorities by taking part in the Musical-Patriotic Marathon ""Za Rossiyu"" (For Russia).","Sellout opinion leaders
Celebrities, influencers and bloggers"
Москалькова Татьяна Николаевна,Moskalkova Tatyana Nikolayevna,30.05.1955,female,"Lawyer, teacher and politician; former deputy of the State Duma; retired Major-General of the Interior Ministry; Russia's Ombudsman for Human Rights. Known for her pro-Kremlin, anti-Western stance. As a deputy, she backed the law banning foreign adoptions of Russian children and the so-called foreign agents law. After her appointment as an Ombudsman, she denied the existence of political prisoners in Russia. In 2019, she sent a request to Spanish Ombudsman Francisco Marugan to verify the observance of human rights and the grounds for the case against Oleg Kuznetsov and Alexander Greenberg, suspects in the money laundering case against the Solntsevskaya Organized Criminal Group in Spain.",Individuals involved in corruption Investigations subjects
Московских Владислав Викторович,Moskovskikh Vladislav Viktorovich,05.01.1981,male,Prosecutor of the Tyumen Oblast. Head of the federal state body that provides legal protection for the Russian political regime and refused to protect the rule of law in the context of the invasion of Russian troops in Ukraine.,"Key ‘siloviki’ (security forces) figure 
Prosecutor’s Office"
Москвичев Евгений Сергеевич,Moskvichev Evgeny Sergeevich,28.09.1957,male,Member of the State Duma of the Russian Federation. This state body is responsible for political and legal support of the aggressive war against Ukraine.,"Members of Parliament and Senate
State Duma"
Москвин Антон Витальевич,Moskvin Anton Vitalievich,,male,Senior Investigator for Particularly Important Cases of the Second Investigation Department of the Investigation Department of the Main Directorate for Investigating Particularly Important Cases of the RF IC. Involved in the fabrication of the “FBK case”,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Москвина Тамара Николаевна,Moskvina Tamara Nikolaevna,26.06.1941,Female,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Мосолов Григорий Иванович,Mosolov Grigorii Ivanovich,09.02.1966,male,"Former head of the Zadonsky district of the Lipetsk Oblast, carried out public procurement at inflated prices",Regional investigations subjects
Мосолова Ольга Владиславовна,Mosolova Olga Vladislavovna,,Female,"Editor-in-Chief of the newspaper ""Kaluzhskie gubernskie vedomosti"" (owned by the government of the Kaluga region)","Propagandists
Regional press"
Мосова Татьяна Ксенофонтовна,Mosova Tatyana Ksenofontovna,08.12.1960,female,"Member of the General Council of the United Russia party. United Russia forms and implements Vladimir Putin's policy of aggression against territorial integrity, sovereignty and independence of Ukraine.","“United Russia” party Functionaries 
Federal and regional party leaders"
Мостославский Юрий Михайлович,Mostoslavskii Iurii Mikhailovich,,Male,"Editor-in-Chief of the newspaper ""Blagoveshchensk"" (owned by the local government of the Blagoveshchensk, Amurskaya Oblast)","Propagandists
Regional press"
Мостыканов Александр Валентинович,Mostykanov Alexander Valentinovich,–,male,Rector of the Astrakhan State Conservatory. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators"
Мосякин Иван Яковлевич,Mosyakin Ivan Yakovlevich,01.07.1947,Male,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Моторин Андрей Вячеславович,Motorin Andrey Vyacheslavovich,,male,"Chairman of the Butyrsky District Court, until January 2016 - a judge of the Moscow City Court. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia. Extended the arrest of Ukrainian activist Oleksandr Kolchenko","Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Мотовилов Андрей Евгеньевич,Motovilov Andrei Evgenevich,,Male,"Editor-in-Chief of the newspaper ""Omskaia pravda"" (owned by the Government of the Omsk region)","Propagandists
Regional press"
Мухачев Роман Анатольевич,Mukhachev Roman Anatolievich,,male,Investigator for Particularly Important Cases of the First Investigation Department of the Second Directorate for Investigation of Particularly Important Cases of the Main Investigation Department of the Investigative Committee of the Russian Federation for the Moscow Oblast. Captain of Justice. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Мухаметшин Фарид Хайруллович,Mukhametshin Farid Khairullovich,22.05.1947,male,"Member of the Supreme Council of the United Russia party, secretary of the Tatarstan regional branch of the United Russia party:. United Russia forms and implements Vladimir Putin's policy of aggression against territorial integrity, sovereignty and independence of Ukraine.

Chairman of the State Council of the Republic of Tatarstan (head of the regional parliament). Actively supports Russia's aggressive war against Ukraine and the Russian authoritarian political regime.","“United Russia” party Functionaries 
Federal and regional party leaders

Key Local Government Officials 
Speakers of the regional legislative assemblies"
Мухаметшин Фарит Мубаракшевич,Mukhametshin Farit Mubarakshevich,31.01.1947,male,"Member of the Federation Council of the Federal Assembly of the Russian Federation (upper house of the federal parliament). This state body is responsible for the political and legal support of the aggressive war against Ukraine, which included issuing permission for the use of Russian military forces outside the territory of Russia.","Members of Parliament and Senate
Federation Council"
Мухин Максим Иванович,Mukhin Maxim Ivanovich,14.04.1972,male,"Head of the Department of the Federal Security Service of Russia for the Republic of Buryatia, a federal state body that carries out political persecution in the territory under its jurisdiction against citizens and organizations that oppose Russia's aggressive war against Ukraine and are in opposition to the current political regime in Russia.","Key ‘siloviki’ (security forces) figure
Federal Security Services
"
Мухин Всеволод Васильевич,Mukhin Vsevolod Vasilyevich,06.07.1978,male,"First Deputy Chairman of the government Republic of Buryatia. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Мухомор Анатолий Евгеньевич,Mukhomor Anatolii Evgenevich,25.08.1965,male,"Head of the municipal transport enterprise in Sochi (Krasnodar Krai), previously headed the municipal transport enterprise in Kaliningrad, where his wife Svetlana Mukhomor (Maslova) worked as the vice-mayor",Regional investigations subjects
МУХТИЯРОВА ЕЛЕНА ВЯЧЕСЛАВОВНА,Mukhtiyarova Elena Vyacheslavovna,25.09.1980,Female,"Deputy Minister of Labor and Social Protection of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
Муминджанов Валерий Эркинович,Muminjanov Valery Erkinovich,23.09.1968,male,Official of the Ministry of Defense of the Russian Federation. Head of the Department of Resource Support of the Ministry of Defense of the Russian Federation. Holds a senior position in the federal state body responsible for the military actions of the Russian armed forces against Ukraine.,"War Arrangers
Military staff and accomplices of Russian occupation"
Мурадов Георгий Львович,Muradov Georgy Lvovich,19.11.1954,male,"Deputy Chairman of the Council of Ministers of the Republic of Crimea. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Мурадов Рустам Усманович,Muradov Rustam Usmanovich,21.03.1973,male,Official of the Ministry of Defense of the Russian Federation. Commands the Russian group of troops East (Vostok) during the aggression against Ukraine.,"War Arrangers
Military staff and accomplices of Russian occupation"
Мураховский Александр Григорьевич,Murakhovsky Alexander Grigorievich,01.07.1971,Male,"Corrupt official and accomplice in the attempted assassination of Alexei Navalny. As the head of the medical institution in which Alexei Navalny was treated after the poisoning, he concealed the traces of the crime. As a reward for his loyalty, he received the post of Minister of Health of the Omsk Oblast.","Individuals involved in corruption
Investigations subjects"
Муранов Александр Юрьевич,Muranov Alexander Yurievich,14.07.1958,male,Deputy Chairman of the Management Board of JSC Gazprombank,Top Management of State Owned Companies
Мурашкина И. О.,Murashkina I. O.,,female,"Investigator for Particularly Important Cases of the Third Division for the Investigation of Particularly Important Cases
Investigation Department of the Investigative Committee of the Russian Federation for the Altai Krai. Involved in the fabrication of the ""FBK case""","Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Мурашко Михаил Альбертович,Murashko Mikhail Albertovich,09.01.1967,male,"Minister of Health of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.

Member of the Supervisory Board of Rostec State Corporation.

Participated in hiding the traces of the crime after the poisoning of Alexei Navalny with the use of chemical weapons.","Senior Federal Officials
Executive branch and presidential administration employees

Top Management of State Owned Companies

Investigations subjects"
Мурашова Лариса Альбертовна,Murashova Larisa Albertovna,-,Female,"Director, STATE TELEVISION AND RADIO BROADCASTING COMPANY ""ORENBURG"". Involved in Russian propaganda of the war against Ukraine.",Chief editors and management of regional TV channels
Муратов Рустам Хамитович,Muratov Rustam Khamitovich,12.03.1980,male,"First Deputy Prime Minister of the Government of the Republic of Bashkortostan - Minister of Economic Development and Investment Policy of the Republic of Bashkortostan. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Муратов Сергей Николаевич,Muratov Sergey Nikolaevich,13.01.1964,male,"Member of the Federation Council of the Federal Assembly of the Russian Federation (upper house of the federal parliament). This state body is responsible for the political and legal support of the aggressive war against Ukraine, which included issuing permission for the use of Russian military forces outside the territory of Russia.","Members of Parliament and Senate
Federation Council"
Муравская Мария Валерьевна,Muravskaya Maria Valerievna,30.08.1992,female,"Member of the Central Executive Committee of the United Russia party. United Russia forms and implements Vladimir Putin's policy of aggression against territorial integrity, sovereignty and independence of Ukraine.","“United Russia” party Functionaries 
Federal and regional party leaders"
Муравьёв Артур Алексеевич,Muravyov Arthur Alekseevich,05.02.1965,Male,"Plenipotentiary of the President of the Russian Federation in the Federation Council. Assists in organizing and implementing actions and policies that undermine and threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
